index,ataque,tipo,dlllist_avg_dlls_per_proc,handles_nfile,handles_nkey,handles_nthread,handles_nsemaphore,handles_ntimer,handles_nmutant,ldrmodules_not_in_load,ldrmodules_not_in_mem,ldrmodules_not_in_load_avg,ldrmodules_not_in_init_avg,ldrmodules_not_in_mem_avg,malfind_ninjections,malfind_commitCharge,malfind_protection,svcscan_nservices,svcscan_process_services,svcscan_nactive,callbacks_ncallbacks,impacto ,afecta_al_activo,genera_riesgo
13,Ransomware,Ransomware,3875,867,731,841,698,129,285,54,54,30734206,54638589,30734206,58,18518,348,389,24,123,86,1,Activo14,riesgo
14,Ransomware,Ransomware,382,868,693,819,699,132,289,48,48,27210884,51020408,27210884,60,18527,360,389,24,123,86,1,Activo3,riesgo
15,Ransomware,Ransomware,3860465116,865,688,765,662,129,284,47,47,27598356,51673517,27598356,61,18559,366,389,24,123,86,1,Activo8,riesgo
16,Ransomware,Ransomware,3860465116,867,689,755,662,129,284,48,48,28251913,52383755,28251913,61,18559,366,389,24,123,86,1,Activo12,riesgo
17,Ransomware,Ransomware,3866666667,862,683,738,654,125,278,46,46,27777778,51932367,27777778,61,18559,366,389,24,122,86,1,Activo3,riesgo
18,Ransomware,Ransomware,3863414634,852,701,716,652,122,258,45,45,28037383,52336449,28037383,61,18559,366,389,24,120,86,1,Activo2,riesgo
19,Ransomware,Ransomware,38725,848,691,711,650,119,252,44,44,28132992,52429668,28132992,61,18559,366,389,24,120,86,1,Activo12,riesgo
20,Ransomware,Ransomware,38725,853,691,717,650,119,252,44,44,2818706,52530429,2818706,61,18559,366,389,24,120,86,1,Activo8,riesgo
21,Ransomware,Ransomware,3845238095,659,672,842,648,120,262,48,48,28880866,5354994,28880866,3,3,18,389,24,122,86,1,Activo19,riesgo
22,Ransomware,Ransomware,37425,645,684,667,602,113,233,43,43,28514589,54376658,28514589,3,3,18,389,24,119,86,1,Activo17,riesgo
23,Ransomware,Ransomware,3819047619,659,672,791,642,120,262,48,48,29073289,53906723,29073289,3,3,18,389,24,122,86,1,Activo5,riesgo
24,Ransomware,Ransomware,3788636364,662,686,767,651,126,270,47,47,27437245,52539405,27437245,3,3,18,389,24,122,86,1,Activo16,riesgo
25,Ransomware,Ransomware,3741860465,659,681,716,614,123,265,46,46,27845036,53268765,27845036,3,3,18,389,24,122,86,1,Activo13,riesgo
26,Ransomware,Ransomware,3741860465,659,681,709,614,123,266,46,46,27929569,5343048,27929569,3,3,18,389,24,122,86,1,Activo5,riesgo
27,Ransomware,Ransomware,3747619048,656,676,696,606,119,260,45,45,28037383,53582555,28037383,3,3,18,389,24,121,86,1,Activo17,riesgo
28,Ransomware,Ransomware,3765853659,652,695,689,606,116,255,45,45,28753994,54313099,28753994,3,3,18,389,24,119,86,1,Activo5,riesgo
29,Ransomware,Ransomware,37425,644,684,669,602,113,233,43,43,28439153,54232804,28439153,3,3,18,389,24,119,86,1,Activo9,riesgo
30,Ransomware,Ransomware,37425,643,684,671,602,113,233,43,43,28495693,54340623,28495693,3,3,18,389,24,119,86,1,Activo6,riesgo
31,Ransomware,Ransomware,3823255814,676,685,852,649,123,266,55,55,32391048,57126031,32391048,3,3,18,389,24,122,86,1,Activo18,riesgo
32,Ransomware,Ransomware,3908108108,627,672,664,594,113,231,43,43,29512697,54221002,29512697,3,3,18,389,24,119,86,1,Activo19,riesgo
33,Ransomware,Ransomware,3982051282,642,660,795,634,120,260,48,48,3,5375,3,3,3,18,389,24,122,86,1,Activo8,riesgo
34,Ransomware,Ransomware,3941463415,645,674,774,643,126,268,47,47,28279182,5234657,28279182,3,3,18,389,24,122,86,1,Activo17,riesgo
35,Ransomware,Ransomware,3895,642,669,723,606,123,263,46,46,28732042,53091818,28732042,3,3,18,389,24,122,86,1,Activo12,riesgo
36,Ransomware,Ransomware,3895,642,669,701,606,123,263,46,46,28822055,53258145,28822055,3,3,18,389,24,122,86,1,Activo14,riesgo
37,Ransomware,Ransomware,3894871795,639,664,687,598,119,256,45,45,29032258,53548387,29032258,3,3,18,389,24,121,86,1,Activo8,riesgo
38,Ransomware,Ransomware,3923684211,636,683,679,598,116,253,45,45,29742234,5419696,29742234,3,3,18,389,24,119,86,1,Activo19,riesgo
39,Ransomware,Ransomware,3908108108,624,672,659,594,113,231,43,43,29431896,54072553,29431896,3,3,18,389,24,119,86,1,Activo18,riesgo
40,Ransomware,Ransomware,3908108108,629,672,663,594,113,231,43,43,29492455,54183813,29492455,3,3,18,389,24,119,86,1,Activo16,riesgo
41,Ransomware,Ransomware,4015384615,645,660,835,640,120,260,48,48,29758215,53316801,29758215,3,3,18,389,24,122,86,1,Activo3,riesgo
42,Ransomware,Ransomware,3916216216,629,672,665,594,113,231,43,43,29431896,54072553,29431896,3,3,18,389,24,119,86,1,Activo11,riesgo
43,Ransomware,Ransomware,3987179487,645,660,781,634,120,260,48,48,29962547,53682896,29962547,3,3,18,389,24,122,86,1,Activo13,riesgo
44,Ransomware,Ransomware,3946341463,648,674,769,643,126,268,47,47,28245192,52283654,28245192,3,3,18,389,24,122,86,1,Activo6,riesgo
45,Ransomware,Ransomware,39,645,669,722,606,123,263,46,46,28696195,53025577,28696195,3,3,18,389,24,122,86,1,Activo20,riesgo
46,Ransomware,Ransomware,39,646,669,706,606,123,263,46,46,28785982,53191489,28785982,3,3,18,389,24,122,86,1,Activo8,riesgo
47,Ransomware,Ransomware,391025641,642,664,695,598,119,258,45,45,28920308,53341902,28920308,3,3,18,389,24,121,86,1,Activo10,riesgo
48,Ransomware,Ransomware,3936842105,638,683,687,598,116,253,45,45,29644269,54018445,29644269,3,3,18,389,24,119,86,1,Activo3,riesgo
49,Ransomware,Ransomware,3916216216,626,672,667,594,113,231,43,43,29351536,53924915,29351536,3,3,18,389,24,119,86,1,Activo15,riesgo
50,Ransomware,Ransomware,3916216216,629,672,668,594,113,231,43,43,29411765,54035568,29411765,3,3,18,389,24,119,86,1,Activo16,riesgo
51,Ransomware,Ransomware,4015384615,645,660,837,640,120,260,48,48,29758215,53316801,29758215,3,3,18,389,24,122,87,1,Activo18,riesgo
52,Ransomware,Ransomware,3913513514,629,672,667,594,113,231,43,43,29452055,54109589,29452055,3,3,18,389,24,119,87,1,Activo19,riesgo
53,Ransomware,Ransomware,3987179487,645,660,791,634,120,260,48,48,29962547,53682896,29962547,3,3,18,389,24,122,87,1,Activo7,riesgo
54,Ransomware,Ransomware,3946341463,648,674,778,643,126,268,47,47,28245192,52283654,28245192,3,3,18,389,24,122,87,1,Activo20,riesgo
55,Ransomware,Ransomware,39,645,669,729,606,123,263,46,46,28696195,53025577,28696195,3,3,18,389,24,122,87,1,Activo12,riesgo
56,Ransomware,Ransomware,39,646,669,706,606,123,263,46,46,28785982,53191489,28785982,3,3,18,389,24,122,87,1,Activo17,riesgo
57,Ransomware,Ransomware,391025641,642,664,694,598,119,258,45,45,28920308,53341902,28920308,3,3,18,389,24,121,87,1,Activo4,riesgo
58,Ransomware,Ransomware,3913513514,627,672,665,594,113,231,43,43,29291553,53814714,29291553,3,3,18,389,24,119,87,1,Activo17,riesgo
59,Ransomware,Ransomware,3913513514,630,672,667,594,113,231,43,43,29371585,53961749,29371585,3,3,18,389,24,119,87,1,Activo20,riesgo
60,Ransomware,Ransomware,3913513514,630,672,668,594,113,231,43,43,29431896,54072553,29431896,3,3,18,389,24,119,87,1,Activo1,riesgo
61,Ransomware,Ransomware,3663636364,659,679,836,648,120,260,48,48,28968014,53711527,28968014,5,49,30,389,24,122,86,1,Activo2,riesgo
62,Ransomware,Ransomware,3620454545,854,710,736,671,122,262,43,43,26841448,51186017,26841448,115,23402,690,389,24,119,86,1,Activo12,riesgo
63,Ransomware,Ransomware,3482978723,650,699,794,642,120,259,48,48,28520499,55258467,28520499,13,186,78,389,24,122,86,1,Activo17,riesgo
64,Ransomware,Ransomware,3421568627,703,720,805,680,129,280,47,47,26301063,52042529,26301063,56,13072,336,389,24,122,86,1,Activo3,riesgo
65,Ransomware,Ransomware,3428846154,753,731,807,711,135,299,46,46,25246981,50493963,25246981,104,22988,624,389,24,122,86,1,Activo3,riesgo
66,Ransomware,Ransomware,3415686275,875,729,785,683,132,294,46,46,25871766,51181102,25871766,105,22998,630,389,24,122,86,1,Activo19,riesgo
67,Ransomware,Ransomware,3518367347,873,712,793,683,131,298,46,46,2622577,50741163,2622577,116,23395,696,389,24,121,86,1,Activo5,riesgo
68,Ransomware,Ransomware,3644444444,864,721,768,675,125,284,45,45,27173913,51328502,27173913,115,23402,690,389,24,119,86,1,Activo20,riesgo
69,Ransomware,Ransomware,3620454545,857,710,746,671,122,262,43,43,26791277,51090343,26791277,115,23402,690,389,24,119,86,1,Activo15,riesgo
70,Ransomware,Ransomware,3620454545,855,710,742,671,122,262,43,43,26841448,51186017,26841448,115,23402,690,389,24,119,86,1,Activo20,riesgo
71,Ransomware,Ransomware,4007692308,641,654,829,640,120,259,47,47,2921069,52827843,2921069,3,3,18,389,24,123,87,1,Activo15,riesgo
72,Ransomware,Ransomware,3934285714,622,597,637,570,107,223,42,42,30021444,54324518,30021444,2,2,12,389,24,120,87,1,Activo19,riesgo
73,Ransomware,Ransomware,3979487179,641,654,777,634,120,259,47,47,29411765,53191489,29411765,3,3,18,389,24,123,87,1,Activo11,riesgo
74,Ransomware,Ransomware,393902439,644,668,759,643,126,267,46,46,27710843,51807229,27710843,3,3,18,389,24,123,87,1,Activo1,riesgo
75,Ransomware,Ransomware,38925,641,663,710,606,123,262,45,45,28142589,52532833,28142589,3,3,18,389,24,123,87,1,Activo17,riesgo
76,Ransomware,Ransomware,38925,642,663,702,606,123,262,45,45,28230866,52697616,28230866,3,3,18,389,24,123,87,1,Activo6,riesgo
77,Ransomware,Ransomware,3905263158,628,670,673,600,116,239,42,42,27759418,52214144,27759418,3,3,18,389,24,122,87,1,Activo2,riesgo
78,Ransomware,Ransomware,3905405405,623,666,658,594,113,230,42,42,28668942,53242321,28668942,3,3,18,389,24,120,87,1,Activo5,riesgo
79,Ransomware,Ransomware,3905405405,626,666,660,594,113,230,42,42,28747433,5338809,28747433,3,3,18,389,24,120,87,1,Activo15,riesgo
80,Ransomware,Ransomware,3905405405,626,666,661,594,113,230,42,42,2878684,53461275,2878684,3,3,18,389,24,120,87,1,Activo1,riesgo
81,Ransomware,Ransomware,4005128205,646,659,833,640,120,259,47,47,29228856,52860697,29228856,3,3,18,389,24,122,86,1,Activo10,riesgo
82,Ransomware,Ransomware,3905405405,630,671,662,594,113,230,42,42,28826356,5353466,28826356,3,3,18,389,24,119,86,1,Activo15,riesgo
83,Ransomware,Ransomware,3976923077,646,659,783,634,120,259,47,47,29430182,53224796,29430182,3,3,18,389,24,122,86,1,Activo17,riesgo
84,Ransomware,Ransomware,3936585366,649,673,762,643,126,267,46,46,27727547,51838457,27727547,3,3,18,389,24,122,86,1,Activo1,riesgo
85,Ransomware,Ransomware,389,646,668,709,606,123,262,45,45,281602,52565707,281602,3,3,18,389,24,122,86,1,Activo19,riesgo
86,Ransomware,Ransomware,389,647,669,702,606,123,262,46,46,28858218,53324969,28858218,3,3,18,389,24,122,86,1,Activo13,riesgo
87,Ransomware,Ransomware,3917948718,645,686,694,604,119,259,44,44,28205128,52564103,28205128,3,3,18,389,24,121,86,1,Activo10,riesgo
88,Ransomware,Ransomware,3926315789,638,682,675,598,116,251,44,44,29062087,53500661,29062087,3,3,18,389,24,119,86,1,Activo15,riesgo
89,Ransomware,Ransomware,3905405405,633,671,663,594,113,230,42,42,28747433,5338809,28747433,3,3,18,389,24,119,86,1,Activo6,riesgo
90,Ransomware,Ransomware,3905405405,633,671,665,594,113,230,42,42,28806584,53497942,28806584,3,3,18,389,24,119,86,1,Activo12,riesgo
91,Ransomware,Ransomware,3897674419,686,730,865,660,123,273,58,58,33467975,57703405,33467975,6,7,36,389,24,122,86,1,Activo4,riesgo
92,Ransomware,Ransomware,3902702703,626,672,665,594,113,230,42,42,28826356,5353466,28826356,3,3,18,389,24,119,86,1,Activo8,riesgo
93,Ransomware,Ransomware,3872093023,686,730,809,654,123,273,58,58,33681765,58072009,33681765,6,7,36,389,24,122,86,1,Activo9,riesgo
94,Ransomware,Ransomware,384,689,744,795,663,129,281,57,57,31950673,5661435,31950673,6,7,36,389,24,122,86,1,Activo17,riesgo
95,Ransomware,Ransomware,3795454545,686,739,742,626,126,276,56,56,32501451,57457922,32501451,6,7,36,389,24,122,86,1,Activo15,riesgo
96,Ransomware,Ransomware,3795454545,686,739,735,626,126,276,56,56,32596042,57625146,32596042,6,7,36,389,24,122,86,1,Activo9,riesgo
97,Ransomware,Ransomware,3795348837,683,734,721,618,122,269,55,55,32855436,57945042,32855436,6,7,36,389,24,121,86,1,Activo4,riesgo
98,Ransomware,Ransomware,38,678,730,710,612,119,262,55,55,33804548,59004302,33804548,6,7,36,389,24,119,86,1,Activo10,riesgo
99,Ransomware,Ransomware,39,636,660,680,592,116,248,44,44,29372497,54072096,29372497,3,3,18,389,24,119,86,1,Activo12,riesgo
100,Ransomware,Ransomware,3902702703,628,672,668,594,113,230,42,42,28806584,53497942,28806584,3,3,18,389,24,119,86,1,Activo8,riesgo
101,Ransomware,Ransomware,3852380952,664,678,837,648,120,262,48,48,28828829,53453453,28828829,3,3,18,389,24,122,86,1,Activo11,riesgo
102,Ransomware,Ransomware,37525,648,690,668,602,113,233,43,43,28439153,54232804,28439153,3,3,18,389,24,119,86,1,Activo7,riesgo
103,Ransomware,Ransomware,3826190476,664,678,781,642,120,262,48,48,29020556,53808948,29020556,3,3,18,389,24,122,86,1,Activo9,riesgo
104,Ransomware,Ransomware,3795454545,667,692,766,651,126,270,47,47,27389277,52447552,27389277,3,3,18,389,24,122,86,1,Activo19,riesgo
105,Ransomware,Ransomware,3748837209,664,687,718,614,123,265,46,46,27794562,53172205,27794562,3,3,18,389,24,122,86,1,Activo15,riesgo
106,Ransomware,Ransomware,3748837209,664,687,708,614,123,265,46,46,27878788,53333333,27878788,3,3,18,389,24,122,86,1,Activo6,riesgo
107,Ransomware,Ransomware,3771428571,663,705,699,612,119,263,45,45,27846535,53217822,27846535,3,3,18,389,24,121,86,1,Activo16,riesgo
108,Ransomware,Ransomware,3775609756,657,701,688,606,116,255,45,45,2869898,54209184,2869898,3,3,18,389,24,119,86,1,Activo1,riesgo
109,Ransomware,Ransomware,37525,649,690,670,602,113,233,43,43,28364116,5408971,28364116,3,3,18,389,24,119,86,1,Activo9,riesgo
110,Ransomware,Ransomware,37525,651,690,674,602,113,233,43,43,28420357,5419696,28420357,3,3,18,389,24,119,86,1,Activo14,riesgo
111,Ransomware,Ransomware,3897619048,662,685,844,650,120,263,48,48,28503563,52850356,28503563,3,3,18,389,24,122,87,1,Activo8,riesgo
112,Ransomware,Ransomware,3910810811,625,671,663,594,113,231,42,42,2878684,53461275,2878684,3,3,18,389,24,119,87,1,Activo11,riesgo
113,Ransomware,Ransomware,3982051282,641,659,773,634,120,260,47,47,29393371,53158224,29393371,3,3,18,389,24,122,87,1,Activo2,riesgo
114,Ransomware,Ransomware,3941463415,644,673,759,643,126,268,46,46,2769416,51776039,2769416,3,3,18,389,24,122,87,1,Activo5,riesgo
115,Ransomware,Ransomware,3895,641,668,709,606,123,263,45,45,28125,525,28125,3,3,18,389,24,122,87,1,Activo20,riesgo
116,Ransomware,Ransomware,3895,642,668,701,606,123,263,45,45,28213166,52664577,28213166,3,3,18,389,24,122,87,1,Activo9,riesgo
117,Ransomware,Ransomware,3923076923,639,686,693,604,119,260,44,44,2818706,52530429,2818706,3,3,18,389,24,121,87,1,Activo9,riesgo
118,Ransomware,Ransomware,39,627,681,666,596,116,237,43,43,28609448,5322688,28609448,3,3,18,389,24,119,87,1,Activo1,riesgo
119,Ransomware,Ransomware,3910810811,623,671,658,594,113,231,42,42,2872777,53351573,2872777,3,3,18,389,24,119,87,1,Activo17,riesgo
120,Ransomware,Ransomware,3910810811,623,671,663,594,113,231,42,42,28767123,53424658,28767123,3,3,18,389,24,119,87,1,Activo3,riesgo
121,Ransomware,Ransomware,3919047619,652,671,875,690,126,279,47,47,27794205,51448847,27794205,47,849,282,389,24,122,87,1,Activo16,riesgo
122,Ransomware,Ransomware,38675,849,692,715,650,119,252,43,43,27581783,51956382,27581783,61,18559,366,389,24,119,87,1,Activo7,riesgo
123,Ransomware,Ransomware,3911904762,699,677,833,684,126,282,47,47,27843602,51540284,27843602,57,18517,342,389,24,122,87,1,Activo7,riesgo
124,Ransomware,Ransomware,3895454545,867,694,811,699,132,289,46,46,26166098,50056883,26166098,58,18521,348,389,24,122,87,1,Activo19,riesgo
125,Ransomware,Ransomware,3858139535,864,689,760,662,129,284,46,46,27042916,51146384,27042916,61,18559,366,389,24,122,87,1,Activo7,riesgo
126,Ransomware,Ransomware,3858139535,867,690,753,662,129,285,47,47,27695934,51856217,27695934,61,18559,366,389,24,122,87,1,Activo5,riesgo
127,Ransomware,Ransomware,3869047619,862,702,746,654,125,279,45,45,27190332,51359517,27190332,61,18559,366,389,24,121,87,1,Activo3,riesgo
128,Ransomware,Ransomware,3887804878,852,703,717,652,122,258,45,45,27846535,51980198,27846535,61,18559,366,389,24,119,87,1,Activo8,riesgo
129,Ransomware,Ransomware,38675,852,692,711,650,119,252,43,43,27511196,51823417,27511196,61,18559,366,389,24,119,87,1,Activo10,riesgo
130,Ransomware,Ransomware,38675,847,692,720,650,119,252,43,43,27564103,51923077,27564103,61,18559,366,389,24,119,87,1,Activo14,riesgo
131,Ransomware,Ransomware,3938095238,677,681,873,690,126,281,47,47,27663331,51206592,27663331,57,18517,342,389,24,122,87,1,Activo3,riesgo
132,Ransomware,Ransomware,38675,853,696,716,650,119,252,43,43,27581783,51956382,27581783,61,18559,366,389,24,119,87,1,Activo19,riesgo
133,Ransomware,Ransomware,3911904762,852,681,831,684,126,281,47,47,27843602,51540284,27843602,56,9557,336,389,24,122,87,1,Activo15,riesgo
134,Ransomware,Ransomware,3902272727,867,698,821,699,132,289,47,47,26674234,50510783,26674234,60,18527,360,389,24,122,87,1,Activo7,riesgo
135,Ransomware,Ransomware,3858139535,864,693,773,662,129,284,46,46,27042916,51146384,27042916,61,18559,366,389,24,122,87,1,Activo2,riesgo
136,Ransomware,Ransomware,3838095238,854,682,738,658,126,262,44,44,2671524,51001821,2671524,61,18559,366,389,24,122,87,1,Activo5,riesgo
137,Ransomware,Ransomware,3841463415,851,678,716,650,122,255,43,43,26824704,51154086,26824704,61,18559,366,389,24,121,87,1,Activo3,riesgo
138,Ransomware,Ransomware,3845,846,673,704,644,119,248,43,43,27634961,52056555,27634961,61,18559,366,389,24,119,87,1,Activo3,riesgo
139,Ransomware,Ransomware,38625,850,696,708,650,119,250,43,43,27546445,51889814,27546445,61,18559,366,389,24,119,87,1,Activo12,riesgo
140,Ransomware,Ransomware,38675,850,696,715,650,119,252,43,43,27564103,51923077,27564103,61,18559,366,389,24,119,87,1,Activo18,riesgo
141,Ransomware,Ransomware,2612121212,658,695,877,710,126,282,48,48,27444254,52029731,27444254,63,1011,378,389,24,122,86,1,Activo15,riesgo
142,Ransomware,Ransomware,38875,1045,697,721,650,119,254,43,43,27458493,51724138,27458493,66,28033,396,389,24,119,86,1,Activo16,riesgo
143,Ransomware,Ransomware,360625,750,718,846,704,128,285,49,49,27574564,52898143,27574564,77,18683,462,389,24,122,86,1,Activo15,riesgo
144,Ransomware,Ransomware,3164285714,859,715,825,713,132,292,47,47,25995575,50884956,25995575,73,18679,438,389,24,122,86,1,Activo14,riesgo
145,Ransomware,Ransomware,2960344828,856,710,780,676,129,287,46,46,26330853,51516886,26330853,73,18679,438,389,24,122,86,1,Activo19,riesgo
146,Ransomware,Ransomware,36,867,736,770,696,132,290,50,50,27700831,53739612,27700831,102,18854,612,389,24,122,86,1,Activo17,riesgo
147,Ransomware,Ransomware,2763492063,904,733,760,668,128,286,47,47,26734926,52901024,26734926,78,28153,468,389,24,121,86,1,Activo12,riesgo
148,Ransomware,Ransomware,3873170732,1051,705,736,648,122,275,44,44,27363184,51616915,27363184,62,27991,372,389,24,119,86,1,Activo13,riesgo
149,Ransomware,Ransomware,38875,1043,697,719,650,119,254,43,43,27388535,51592357,27388535,65,28001,390,389,24,119,86,1,Activo19,riesgo
150,Ransomware,Ransomware,38875,1046,697,727,650,119,254,43,43,2744097,5169113,2744097,66,28033,396,389,24,119,86,1,Activo8,riesgo
151,Ransomware,Ransomware,391,642,661,836,640,120,259,47,47,2921069,52827843,2921069,3,3,18,389,24,122,87,1,Activo20,riesgo
152,Ransomware,Ransomware,3905405405,626,673,660,594,113,230,42,42,28846154,53571429,28846154,3,3,18,389,24,119,87,1,Activo3,riesgo
153,Ransomware,Ransomware,3979487179,642,661,773,634,120,259,47,47,29411765,53191489,29411765,3,3,18,389,24,122,87,1,Activo1,riesgo
154,Ransomware,Ransomware,393902439,645,675,759,643,126,267,46,46,27710843,51807229,27710843,3,3,18,389,24,122,87,1,Activo4,riesgo
155,Ransomware,Ransomware,38925,642,670,711,606,123,262,45,45,28142589,52532833,28142589,3,3,18,389,24,122,87,1,Activo9,riesgo
156,Ransomware,Ransomware,38925,643,670,701,606,123,262,45,45,28230866,52697616,28230866,3,3,18,389,24,122,87,1,Activo6,riesgo
157,Ransomware,Ransomware,3902564103,639,665,689,598,119,257,44,44,2833226,5280103,2833226,3,3,18,389,24,121,87,1,Activo2,riesgo
158,Ransomware,Ransomware,3805263158,624,673,661,594,113,230,42,42,28688525,53278689,28688525,3,3,18,389,24,119,87,1,Activo8,riesgo
159,Ransomware,Ransomware,3905405405,626,673,660,594,113,230,42,42,28767123,53424658,28767123,3,3,18,389,24,119,87,1,Activo20,riesgo
160,Ransomware,Ransomware,3905405405,629,673,666,594,113,230,42,42,28826356,5353466,28826356,3,3,18,389,24,119,87,1,Activo6,riesgo
161,Ransomware,Ransomware,4005128205,641,654,835,640,120,259,47,47,29228856,52860697,29228856,3,3,18,389,24,122,87,1,Activo16,riesgo
162,Ransomware,Ransomware,3902702703,625,666,662,594,113,230,42,42,28846154,53571429,28846154,3,3,18,389,24,119,87,1,Activo13,riesgo
163,Ransomware,Ransomware,3976923077,641,654,784,634,120,259,47,47,29430182,53224796,29430182,3,3,18,389,24,122,87,1,Activo5,riesgo
164,Ransomware,Ransomware,3936585366,644,668,759,643,126,267,46,46,27727547,51838457,27727547,3,3,18,389,24,122,87,1,Activo10,riesgo
165,Ransomware,Ransomware,389,641,663,712,606,123,262,45,45,281602,52565707,281602,3,3,18,389,24,122,87,1,Activo3,riesgo
166,Ransomware,Ransomware,389,642,663,702,606,123,262,45,45,28248588,52730697,28248588,3,3,18,389,24,122,87,1,Activo9,riesgo
167,Ransomware,Ransomware,39,638,658,688,598,119,257,44,44,28350515,52835052,28350515,3,3,18,389,24,121,87,1,Activo6,riesgo
168,Ransomware,Ransomware,3802631579,625,667,661,594,113,230,42,42,28668942,53242321,28668942,3,3,18,389,24,119,87,1,Activo12,riesgo
169,Ransomware,Ransomware,3902702703,626,666,661,594,113,230,42,42,28767123,53424658,28767123,3,3,18,389,24,119,87,1,Activo8,riesgo
170,Ransomware,Ransomware,3902702703,622,666,666,594,113,230,42,42,28826356,5353466,28826356,3,3,18,389,24,119,87,1,Activo16,riesgo
171,Ransomware,Ransomware,4023076923,647,655,832,640,120,259,47,47,29102167,52631579,29102167,3,3,18,389,24,123,87,1,Activo14,riesgo
172,Ransomware,Ransomware,3921621622,631,667,664,594,113,230,42,42,28708134,53315106,28708134,3,3,18,389,24,120,87,1,Activo17,riesgo
173,Ransomware,Ransomware,3994871795,647,655,782,634,120,259,47,47,29301746,52992519,29301746,3,3,18,389,24,123,87,1,Activo11,riesgo
174,Ransomware,Ransomware,3953658537,650,669,761,643,126,267,46,46,27611044,51620648,27611044,3,3,18,389,24,123,87,1,Activo5,riesgo
175,Ransomware,Ransomware,39075,647,664,709,606,123,262,45,45,28037383,52336449,28037383,3,3,18,389,24,123,87,1,Activo3,riesgo
176,Ransomware,Ransomware,39075,648,664,701,606,123,262,45,45,28125,525,28125,3,3,18,389,24,123,87,1,Activo6,riesgo
177,Ransomware,Ransomware,3917948718,644,659,691,598,119,257,44,44,28241335,52631579,28241335,3,3,18,389,24,122,87,1,Activo17,riesgo
178,Ransomware,Ransomware,3942105263,640,678,681,598,116,252,44,44,28947368,53289474,28947368,3,3,18,389,24,120,87,1,Activo18,riesgo
179,Ransomware,Ransomware,3921621622,629,667,662,594,113,230,42,42,28629857,53169734,28629857,3,3,18,389,24,120,87,1,Activo17,riesgo
180,Ransomware,Ransomware,3921621622,629,667,668,594,113,230,42,42,28688525,53278689,28688525,3,3,18,389,24,120,87,1,Activo1,riesgo
181,Ransomware,Ransomware,364375,557,419,651,406,92,186,35,35,29166667,55,29166667,2,2,12,385,23,114,88,1,Activo12,riesgo
182,Ransomware,Ransomware,3956756757,605,655,661,629,113,223,45,45,29840849,53713528,29840849,3,3,18,389,24,117,88,1,Activo15,riesgo
183,Ransomware,Ransomware,365,559,427,655,406,92,186,36,36,29925187,55694098,29925187,2,2,12,385,23,114,88,1,Activo15,riesgo
184,Ransomware,Ransomware,365,548,427,558,406,92,186,36,36,29925187,55694098,29925187,2,2,12,385,23,114,88,1,Activo5,riesgo
185,Ransomware,Ransomware,365,548,427,526,406,92,186,36,36,29925187,55694098,29925187,2,2,12,385,23,114,88,1,Activo9,riesgo
186,Ransomware,Ransomware,365625,549,427,538,406,92,186,37,37,30679934,56384743,30679934,2,2,12,385,23,114,88,1,Activo2,riesgo
